	internal_pdfs	internal_web_texts	external_pdfs	external_web_texts	company
51		['https://investor.lkqcorp.com/financial-information/sec-filings/default.aspx', 'https://investor.lkqcorp.com/overview/default.aspx', 'https://investor.lkqcorp.com/stock-information/default.aspx', 'https://investor.lkqcorp.com/events-and-presentations/default.aspx', 'https://investor.lkqcorp.com/corporate-governance/board/default.aspx', 'https://investor.lkqcorp.com/financial-information/quarterly-results/default.aspx', 'https://investor.lkqcorp.com/shareholder-services/rss/default.aspx', 'https://investor.lkqcorp.com/stock-information/stock-chart/default.aspx', 'https://investor.lkqcorp.com/stock-information/ownership-summary/default.aspx', 'https://investor.lkqcorp.com/financial-information/annual-reports/default.aspx', 'https://investor.lkqcorp.com/shareholder-services/email-alerts/default.aspx', 'https://investor.lkqcorp.com/corporate-governance/management/default.aspx', 'https://investor.lkqcorp.com/shareholder-services/info-request/default.aspx', 'https://investor.lkqcorp.com/corporate-governance/highlights/default.aspx', 'https://investor.lkqcorp.com/shareholder-services/contact-information/default.aspx', 'https://investor.lkqcorp.com/sustainability/default.aspx', 'https://investor.lkqcorp.com/stock-information/analyst-coverage/default.aspx', 'https://investor.lkqcorp.com/press-releases/default.aspx', 'https://investor.lkqcorp.com/corporate-governance/committee-composition/default.aspx', 'https://investor.lkqcorp.com/press-releases/press-releases-details/2021/LKQ-Corporation-Releases-Inaugural-Sustainability-Report/default.aspx']		"['http://www.lkqcorp.com/codeofethics', 'tel://312-621-2793', 'https://www.lkqcorp.com/lkq-global_about-us/north-america/', 'https://www.lkqcorp.com/privacy', 'https://twitter.com/LKQCorp', 'http://sec.gov', 'https://www.lkqcorp.com/lkq-global_about-us/specialty/', 'https://www.lkqcorp.com/lkq-global_about-us/europe/', 'https://www.keystoneautomotive.com/', 'https://www.lkqcorp.com', 'https://www.lkqcorp.com/terms', 'https://www.instagram.com/lkqcorp/', 'https://www.lkqcorp.com/location-finder/', 'https://www.q4inc.com/Powered-by-Q4/', 'https://www.lkqcorp.com/newsroom/proud-to-serve/', 'https://www.lkqcorp.com/lkq-global_about-us/', 'javascript://WebForm_DoPostBackWithOptions(new WebForm_PostBackOptions(""lnkPostback"", """", true, """", """", false, true))', 'https://www.lkqcorp.com/global-presence/', 'https://www.lkqcorp.com/lkq-global_about-us/north-america/drop-ship/', 'https://www.lkqcorp.com/stories/', 'https://www.globenewswire.com/NewsRoom/AttachmentNg/65263272-4501-4b74-92e7-6015b6ce309f', 'https://www.lkqcorp.com/global-presence/north-america/', 'https://www.lkqcorp.com/about-us/our-industry-leading-warranty/', 'http://lkqcorp.com', 'https://www.facebook.com/lkqcorp', 'http://www.lkqcorp.com/careers/', 'https://apps.indigotools.com/IR/IAC/', 'https://www.lkqcorp.com/careers/', 'https://www.lkqcorp.com/about-us/commitment-to-quality/', 'https://www.globenewswire.com/Tracker', 'https://www.lkqcorp.com/buyparts/', 'https://www.lkqcorp.com/contact-us/', 'http://www.lkqcorp.com', 'https://www.lkqcorp.com/about-us/our-company-history/', 'https://www.lkqcorp.com/newsroom/', 'https://www.linkedin.com/company/lkq-corporation', 'mailto://jpboutross@lkqcorp.com']"	Lkq Corp
52					Lkq Corp
53					Lkq Corp
54					Orix Corp
55	['https://www.orix.co.jp/grp/en/newsrelease/pdf/180808_ORIXE.pdf']				Orix Corp
56	['https://www.orix.co.jp/grp/en/newsrelease/pdf/210628_ORIXG.pdf']				Orix Corp
57					Anglo American
58	['https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2020/aa-sustainability-report-2019-v1.pdf']				Anglo American
59	['https://www.angloplatinum.co.za/~/media/Files/A/Anglo-American-Group/Platinum/investors/annual-reporting/2021/aap-integrated-annual-report-2020.pdf']				Anglo American
60	['https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/12/12/191206.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/03/13/190227.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/03/13/190228_1.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/10/21/211021.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/09/09/190729_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/07/29/190729_1_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/10/07/210929_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/03/18/190305.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/05/22/190515_1.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/07/12/190708.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/03/13/190130.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/11/01/210927.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/09/02/190829.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/03/22/190315.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/10/04/190926.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/09/05/190830_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/12/10/191210.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/11/09/211110_1.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/07/03/190703_1.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/06/05/190531.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/09/05/190830.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/02/19/190208.pdf', 'https://www.osakagas.co.jp/en/whatsnew/pdf/OurOperations200423.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/10/28/211007.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/03/04/190225.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/03/18/190307_2_1.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/10/22/211022.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/04/26/190424_1.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2020/01/27/191001.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/10/28/211015_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/11/07/191101.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/10/25/211021_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/04/03/190327.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2020/01/07/191226_4.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/11/08/211027_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/12/20/191216.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/11/18/191118.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/12/05/191129.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/10/28/211011.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/02/15/190131_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/06/05/190530_2_1.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/07/01/190627.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/06/24/190624_2_1.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/10/14/211015_1.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/03/13/190228_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/04/01/190328.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/10/06/210929.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/09/24/190918.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/11/27/191029.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/11/05/211028.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/08/05/190805_3.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/09/13/210913_1.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/09/16/210910.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/08/20/190820_1_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/05/23/190424_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/05/24/190515_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/11/01/210921.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/09/21/210916.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/10/29/211027.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/02/27/190219.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/10/05/211001.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/12/10/191210_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/03/20/190313.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/10/10/191003_1.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/07/17/190710.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/02/13/190131.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/03/18/190307_1.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/12/13/191213.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2020/01/07/191128_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/12/11/191211_1.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/10/02/190927_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2020/05/08/190917_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2020/05/13/20200421.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/09/25/190919.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/06/03/190530_1.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/10/18/190926_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/11/05/191030.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/09/21/210910_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/09/12/190902_1.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/05/09/190426.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/09/18/190722.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/03/18/190227_2.pdf']	['https://www.osakagas.co.jp/en/residential-customers/', 'https://www.osakagas.co.jp/en/contact/', 'https://www.osakagas.co.jp/en/whatsnew/1209764_11886.html', 'https://www.osakagas.co.jp/en/whatsnew/1282142_11885.html', 'https://www.osakagas.co.jp/en/sitepolicy/', 'https://www.osakagas.co.jp/csr_e/beginning/', 'https://www.osakagas.co.jp/en/whatsnew/1209747_11886.html', 'https://www.osakagas.co.jp/en/emergency-number/', 'https://www.osakagas.co.jp/sp/en/whatsnew/', 'https://www.osakagas.co.jp/en/residential-customers/starting/', 'https://www.osakagas.co.jp/en/residential-customers/payment/', 'https://www.osakagas.co.jp/en/whatsnew/1209713_11886.html', 'https://www.osakagas.co.jp/en/whatsnew/1284226_11886.html', 'https://www.osakagas.co.jp/kr/emergency-number/', 'https://www.osakagas.co.jp/en/whatsnew/1209755_11886.html', 'https://www.osakagas.co.jp/en/company/enterprise_future/article15/', 'https://www.osakagas.co.jp/en/privacy/', 'https://www.osakagas.co.jp/en/whatsnew/1277462_11885.html', 'https://www.osakagas.co.jp/en/whatsnew/1209735_11886.html', 'https://www.osakagas.co.jp/en/ir/', 'https://www.osakagas.co.jp/en/index.html', 'https://www.osakagas.co.jp/en/whatsnew/1209740_11886.html', 'https://www.osakagas.co.jp/en/', 'https://www.osakagas.co.jp/en/whatsnew/1276539_11886.html', 'https://www.osakagas.co.jp/cn/emergency-number/', 'https://www.osakagas.co.jp/en/whatsnew/1209761_11886.html', 'https://www.osakagas.co.jp/en', 'https://www.osakagas.co.jp/en/whatsnew/1301042_11886.html', 'https://www.osakagas.co.jp/en/aboutus/', 'https://www.osakagas.co.jp/en/whatsnew/1231832_11886.html', 'https://www.osakagas.co.jp/en/whatsnew/1209727_11886.html', 'https://www.osakagas.co.jp/en/whatsnew/1267045_11886.html', 'https://www.osakagas.co.jp/en/whatsnew/1296379_11886.html', 'https://www.osakagas.co.jp/en/whatsnew/1209720_11886.html', 'https://www.osakagas.co.jp/en/ir/manage/', 'https://www.osakagas.co.jp/en/whatsnew/1217930_11886.html', 'https://www.osakagas.co.jp/', 'https://www.osakagas.co.jp/csr_e/', 'https://www.osakagas.co.jp/en/residential-customers/inquiry/', 'https://www.osakagas.co.jp/en/company/enterprise_future/', 'https://www.osakagas.co.jp/en/company/enterprise_future/article14/', 'https://www.osakagas.co.jp/en/whatsnew/', 'https://www.osakagas.co.jp/en/whatsnew/1244971_11886.html', 'https://www.osakagas.co.jp/en/whatsnew/index.html', 'https://www.osakagas.co.jp/en/rd/', 'https://www.osakagas.co.jp/en/whatsnew/1291274_11886.html', 'https://www.osakagas.co.jp/en/ir/library/', 'https://www.osakagas.co.jp/en/business/', 'https://www.osakagas.co.jp/en/company/enterprise_future/article16/', 'https://www.osakagas.co.jp/en/whatsnew/1282141_11885.html', 'https://www.osakagas.co.jp/en/ir/financal-highlight/', 'https://www.osakagas.co.jp/en/whatsnew/list.html', 'https://www.osakagas.co.jp/csr_e/beginning/valuechain.html']		['javascript://void(0)', 'https://cgi.osakagas.co.jp/cgi-bin/ssl/mailshori_en.cgi']	Osaka Gas Co
61	['https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/12/12/191206.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/03/13/190227.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/03/13/190228_1.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/10/21/211021.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/09/09/190729_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/07/29/190729_1_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/10/07/210929_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/03/18/190305.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/05/22/190515_1.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/07/12/190708.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/03/13/190130.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/11/01/210927.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/09/02/190829.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/03/22/190315.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/10/04/190926.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/09/05/190830_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/12/10/191210.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/11/09/211110_1.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/07/03/190703_1.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/06/05/190531.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/09/05/190830.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/02/19/190208.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/10/28/211007.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/03/04/190225.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/03/18/190307_2_1.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/10/22/211022.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/04/26/190424_1.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2020/01/27/191001.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/10/28/211015_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/10/25/211021_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/11/07/191101.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/04/03/190327.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2020/01/07/191226_4.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/11/08/211027_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/12/20/191216.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/11/18/191118.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/12/05/191129.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/10/28/211011.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/02/15/190131_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/06/05/190530_2_1.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/07/01/190627.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/06/24/190624_2_1.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/10/14/211015_1.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/03/13/190228_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/04/01/190328.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/10/06/210929.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/09/24/190918.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/11/27/191029.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/11/05/211028.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/08/05/190805_3.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/09/13/210913_1.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/09/16/210910.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/08/20/190820_1_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/05/23/190424_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/05/24/190515_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/11/01/210921.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/09/21/210916.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/10/29/211027.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/02/27/190219.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/10/05/211001.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/12/10/191210_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/03/20/190313.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/10/10/191003_1.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/07/17/190710.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/02/13/190131.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/03/18/190307_1.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/12/13/191213.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2020/01/07/191128_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/12/11/191211_1.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/10/02/190927_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2020/05/08/190917_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/09/25/190919.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/06/03/190530_1.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/10/18/190926_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/11/05/191030.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2021/09/21/210910_2.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/09/12/190902_1.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/05/09/190426.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/09/18/190722.pdf', 'https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2019/03/18/190227_2.pdf']	['https://www.osakagas.co.jp/en/residential-customers/', 'https://www.osakagas.co.jp/en/contact/', 'https://www.osakagas.co.jp/en/whatsnew/1209764_11886.html', 'https://www.osakagas.co.jp/en/whatsnew/1282142_11885.html', 'https://www.osakagas.co.jp/en/sitepolicy/', 'https://www.osakagas.co.jp/en/whatsnew/1209747_11886.html', 'https://www.osakagas.co.jp/en/whatsnew/1209713_11886.html', 'https://www.osakagas.co.jp/en/whatsnew/1284226_11886.html', 'https://www.osakagas.co.jp/en/whatsnew/1209755_11886.html', 'https://www.osakagas.co.jp/en/privacy/', 'https://www.osakagas.co.jp/en/whatsnew/1277462_11885.html', 'https://www.osakagas.co.jp/en/whatsnew/1209735_11886.html', 'https://www.osakagas.co.jp/en/ir/', 'https://www.osakagas.co.jp/en/index.html', 'https://www.osakagas.co.jp/en/whatsnew/1209740_11886.html', 'https://www.osakagas.co.jp/en/whatsnew/1276539_11886.html', 'https://www.osakagas.co.jp/en/whatsnew/1209761_11886.html', 'https://www.osakagas.co.jp/en', 'https://www.osakagas.co.jp/en/whatsnew/1301042_11886.html', 'https://www.osakagas.co.jp/en/aboutus/', 'https://www.osakagas.co.jp/en/whatsnew/1231832_11886.html', 'https://www.osakagas.co.jp/en/whatsnew/1209727_11886.html', 'https://www.osakagas.co.jp/en/whatsnew/1267045_11886.html', 'https://www.osakagas.co.jp/en/whatsnew/1296379_11886.html', 'https://www.osakagas.co.jp/en/whatsnew/1209720_11886.html', 'https://www.osakagas.co.jp/en/whatsnew/1217930_11886.html', 'https://www.osakagas.co.jp/', 'https://www.osakagas.co.jp/csr_e/', 'https://www.osakagas.co.jp/en/whatsnew/', 'https://www.osakagas.co.jp/en/whatsnew/1244971_11886.html', 'https://www.osakagas.co.jp/en/whatsnew/index.html', 'https://www.osakagas.co.jp/en/rd/', 'https://www.osakagas.co.jp/en/whatsnew/1291274_11886.html', 'https://www.osakagas.co.jp/en/business/', 'https://www.osakagas.co.jp/en/whatsnew/1282141_11885.html', 'https://www.osakagas.co.jp/en/whatsnew/list.html']		['https://cgi.osakagas.co.jp/cgi-bin/ssl/mailshori_en.cgi']	Osaka Gas Co
62	['https://pdf.kabutan.jp/tdnet/data/20211023/140120211022414883.pdf']				Osaka Gas Co
63	['https://www.paccar.com/media/3071/paccar-esg-report-december-2020.pdf']				Paccar
64	['https://www.paccar.com/media/3089/paccar-esg-report-february-2021.pdf']				Paccar
